StationCode,SampleID,FinalID,Distinct,LifeStageCode,BAResult,ML#
504BCCUF,504BCCUF_2025_25037_BMI_RWB_1,Oligochaeta,,X,23,25037
504BCCUF,504BCCUF_2025_25037_BMI_RWB_1,Prostoma,,x,5,25037
504BCCUF,504BCCUF_2025_25037_BMI_RWB_1,Sperchon,,X,4,25037
504BCCUF,504BCCUF_2025_25037_BMI_RWB_1,Lebertia,,L,2,25037
504BCCUF,504BCCUF_2025_25037_BMI_RWB_1,Hygrobates,,L,1,25037
504BCCUF,504BCCUF_2025_25037_BMI_RWB_1,Torrenticola,,L,1,25037
504BCCUF,504BCCUF_2025_25037_BMI_RWB_1,Ferrissia,,L,2,25037
504BCCUF,504BCCUF_2025_25037_BMI_RWB_1,Argia,,L,6,25037
504BCCUF,504BCCUF_2025_25037_BMI_RWB_1,Baetis tricaudatus complex,,L,30,25037
504BCCUF,504BCCUF_2025_25037_BMI_RWB_1,Acentrella,,L,4,25037
504BCCUF,504BCCUF_2025_25037_BMI_RWB_1,Tricorythodes,,L,19,25037
504BCCUF,504BCCUF_2025_25037_BMI_RWB_1,Epeorus,,L,2,25037
504BCCUF,504BCCUF_2025_25037_BMI_RWB_1,Rhithrogena,,L,2,25037
504BCCUF,504BCCUF_2025_25037_BMI_RWB_1,Anafroptilum,,L,2,25037
504BCCUF,504BCCUF_2025_25037_BMI_RWB_1,Diphetor hageni,,L,2,25037
504BCCUF,504BCCUF_2025_25037_BMI_RWB_1,Isonychia velmae,,L,1,25037
504BCCUF,504BCCUF_2025_25037_BMI_RWB_1,Baetis piscatoris complex,,L,2,25037
504BCCUF,504BCCUF_2025_25037_BMI_RWB_1,Hesperoperla pacifica,,L,1,25037
504BCCUF,504BCCUF_2025_25037_BMI_RWB_1,Petrophila,,L,32,25037
504BCCUF,504BCCUF_2025_25037_BMI_RWB_1,Sialis,,L,1,25037
504BCCUF,504BCCUF_2025_25037_BMI_RWB_1,Hydropsyche,,L,36,25037
504BCCUF,504BCCUF_2025_25037_BMI_RWB_1,Cheumatopsyche,,L,49,25037
504BCCUF,504BCCUF_2025_25037_BMI_RWB_1,Micrasema,,L,1,25037
504BCCUF,504BCCUF_2025_25037_BMI_RWB_1,Ochrotrichia,,L,59,25037
504BCCUF,504BCCUF_2025_25037_BMI_RWB_1,Chimarra,,L,8,25037
504BCCUF,504BCCUF_2025_25037_BMI_RWB_1,Brachycentrus occidentalis,,L,4,25037
504BCCUF,504BCCUF_2025_25037_BMI_RWB_1,Protoptila,,L,3,25037
504BCCUF,504BCCUF_2025_25037_BMI_RWB_1,Rhyacophila betteni gr,,L,1,25037
504BCCUF,504BCCUF_2025_25037_BMI_RWB_1,Leucotrichia pictipes,,L,2,25037
504BCCUF,504BCCUF_2025_25037_BMI_RWB_1,Helicopsyche,,L,1,25037
504BCCUF,504BCCUF_2025_25037_BMI_RWB_1,Optioservus,,L,119,25037
504BCCUF,504BCCUF_2025_25037_BMI_RWB_1,Optioservus,,A,5,25037
504BCCUF,504BCCUF_2025_25037_BMI_RWB_1,Zaitzevia,,L,1,25037
504BCCUF,504BCCUF_2025_25037_BMI_RWB_1,Zaitzevia,,A,3,25037
504BCCUF,504BCCUF_2025_25037_BMI_RWB_1,Microcylloepus,,L,1,25037
504BCCUF,504BCCUF_2025_25037_BMI_RWB_1,Microcylloepus,,A,1,25037
504BCCUF,504BCCUF_2025_25037_BMI_RWB_1,Ampumixis dispar,,L,1,25037
504BCCUF,504BCCUF_2025_25037_BMI_RWB_1,Eubrianax edwardsii,,L,2,25037
504BCCUF,504BCCUF_2025_25037_BMI_RWB_1,Psephenus falli,,L,3,25037
504BCCUF,504BCCUF_2025_25037_BMI_RWB_1,Simulium,,L,22,25037
504BCCUF,504BCCUF_2025_25037_BMI_RWB_1,Simulium,,P,3,25037
504BCCUF,504BCCUF_2025_25037_BMI_RWB_1,Neoplasta,,L,1,25037
